"Longitude","Latitude","Elevation","January_temp"
284.1,717.7,113,2
309,718.5,41,2.6
305,835,305,MISS
186.1,881.8,6,4.3
185,775,130,MISS
275,595,265,MISS
215,865,280,MISS
215,655,15,MISS
290.2,682,3,3.1
409.3,858.2,26,3.4
355.5,735.2,27,3.1
377.9,820.4,54,2
287.9,623.9,274,1.3
352.3,832.3,146,1.9
335,595,375,MISS
257.2,662.7,23,3.3
238.1,809.1,21,2.7
140.2,799.6,5,4.4
215,775,280,MISS
445.4,1139.8,82,3
285.6,803.8,250,0.9
326,794.6,283,0.7
395,865,45,MISS
232.1,709.8,12,3.6
185,715,130,MISS
294.7,887.5,18,3.5
335,865,2,MISS
369.2,795.9,94,2.4
291.3,808.2,305,1
275,655,26,MISS
237.9,623.3,48,3.6
215,805,230,MISS
245,805,760,MISS
275,715,457,MISS
275,565,64,MISS
306.7,862.7,5,3
245,655,200,MISS
348.3,1007.6,26,3.5
437.2,1135.7,21,4
311.7,684.8,40,3
208,776.4,8,3.6
395,835,122,MISS
279.3,693.6,46,3.2
369.6,791.7,120,1.7
338.8,715.2,25,2.7
384.5,620.2,221,1.9
305,595,244,MISS
305,565,2,MISS
218.3,651.4,8,4.4
312.3,629.6,226,1.9
214.1,685.7,12,3.3
335,745,175,MISS
275,805,490,MISS
368.9,864.7,24,3.5
314.1,646.3,253,1.7
211.3,697.8,24,3
305,925,245,MISS
353.9,730.9,5,2.7
305,745,95,MISS
288.8,615.3,387,1
266.8,846.2,4,3.3
275,745,183,MISS
335,775,760,MISS
325.8,670.6,134,3.2
399.9,867.5,18,3.9
95,745,15,MISS
305,655,360,MISS
298.2,574.7,49,3
365,745,65,MISS
367.2,679.1,23,3.8
215,925,80,MISS
370.7,761.7,55,2.8
245,835,395,MISS
304.7,858.7,50,2.9
323.6,602.7,242,1.4
278.6,692.5,38,2.6
445.3,1139.7,82,3
125,865,162,MISS
236.1,578.9,110,2.8
286.9,856.8,8,2.9
202.8,763,15,3.6
245,595,300,MISS
342.8,627.8,168,2
166.3,622.6,10,4.6
391.4,669.3,75,3.7
155,955,100,MISS
275,895,185,MISS
201.3,637.7,15,4.5
387.1,810.7,102,2.7
365,775,95,MISS
215.7,530.4,78,4.7
344.6,802.5,177,1.7
277.2,676,94,1.9
227.4,675.7,61,3.5
365,655,342,MISS
365,625,91,MISS
185,895,65,MISS
328.3,639.7,165,2.1
263.8,653.5,178,2.3
202.5,862.9,25,3.1
155,685,330,MISS
305,715,91,MISS
366.9,778.2,171,2
260.6,580.5,55,2.6
273.2,564.6,47,2.8
333.9,730.1,30,2.6
185,655,115,MISS
259.8,587.9,119,2.1
260.8,668.6,107,2.6
